inventor_id,name,year,patent_count
fl:ba_ln:andre-5,Bartley K. Andre,1996,2
fl:ba_ln:andre-5,Bartley K. Andre,1997,1
fl:ba_ln:andre-5,Bartley K. Andre,1999,2
fl:ba_ln:andre-5,Bartley K. Andre,2000,7
fl:ba_ln:andre-5,Bartley K. Andre,2001,3
fl:ba_ln:andre-5,Bartley K. Andre,2002,10
fl:ba_ln:andre-5,Bartley K. Andre,2003,12
fl:ba_ln:andre-5,Bartley K. Andre,2004,19
fl:ba_ln:andre-5,Bartley K. Andre,2005,10
fl:ba_ln:andre-5,Bartley K. Andre,2006,27
fl:ba_ln:andre-5,Bartley K. Andre,2007,37
fl:ba_ln:andre-5,Bartley K. Andre,2008,64
fl:ba_ln:andre-5,Bartley K. Andre,2009,93
fl:ba_ln:andre-5,Bartley K. Andre,2010,115
fl:ba_ln:andre-5,Bartley K. Andre,2011,89
fl:ba_ln:andre-5,Bartley K. Andre,2012,110
fl:ba_ln:andre-5,Bartley K. Andre,2013,127
fl:ba_ln:andre-5,Bartley K. Andre,2014,108
fl:ba_ln:andre-5,Bartley K. Andre,2015,79
fl:ba_ln:andre-5,Bartley K. Andre,2016,196
fl:ba_ln:andre-5,Bartley K. Andre,2017,130
fl:ba_ln:andre-5,Bartley K. Andre,2018,132
fl:ba_ln:andre-5,Bartley K. Andre,2019,126
fl:ba_ln:andre-5,Bartley K. Andre,2020,111
fl:ba_ln:andre-5,Bartley K. Andre,2021,136
fl:ba_ln:andre-5,Bartley K. Andre,2022,183
fl:ba_ln:andre-5,Bartley K. Andre,2023,155
fl:ba_ln:andre-5,Bartley K. Andre,2024,169
fl:du_ln:kerr-1,Duncan Robert Kerr,2001,3
fl:du_ln:kerr-1,Duncan Robert Kerr,2002,9
fl:du_ln:kerr-1,Duncan Robert Kerr,2003,12
fl:du_ln:kerr-1,Duncan Robert Kerr,2004,10
fl:du_ln:kerr-1,Duncan Robert Kerr,2005,6
fl:du_ln:kerr-1,Duncan Robert Kerr,2006,22
fl:du_ln:kerr-1,Duncan Robert Kerr,2007,32
fl:du_ln:kerr-1,Duncan Robert Kerr,2008,60
fl:du_ln:kerr-1,Duncan Robert Kerr,2009,91
fl:du_ln:kerr-1,Duncan Robert Kerr,2010,116
fl:du_ln:kerr-1,Duncan Robert Kerr,2011,88
fl:du_ln:kerr-1,Duncan Robert Kerr,2012,108
fl:du_ln:kerr-1,Duncan Robert Kerr,2013,131
fl:du_ln:kerr-1,Duncan Robert Kerr,2014,111
fl:du_ln:kerr-1,Duncan Robert Kerr,2015,81
fl:du_ln:kerr-1,Duncan Robert Kerr,2016,203
fl:du_ln:kerr-1,Duncan Robert Kerr,2017,146
fl:du_ln:kerr-1,Duncan Robert Kerr,2018,138
fl:du_ln:kerr-1,Duncan Robert Kerr,2019,133
fl:du_ln:kerr-1,Duncan Robert Kerr,2020,124
fl:du_ln:kerr-1,Duncan Robert Kerr,2021,144
fl:du_ln:kerr-1,Duncan Robert Kerr,2022,193
fl:du_ln:kerr-1,Duncan Robert Kerr,2023,161
fl:du_ln:kerr-1,Duncan Robert Kerr,2024,177
fl:fr_ln:shelton-5,"Frederick E. Shelton, IV",2005,3
